SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30KVGRWV____	0.247	0.214	0.252	0.252	0.213	0.160	0.205	0.205	0.167	0.208	0.215	0.252	0.211	0.213	0.160	0.252	0.208	0.211	0.252	0.205	0.207	0.205	0.166	0.208	0.252	0.160	0.166	0.168	0.214	0.213	0.212	0.166	-0.019	-0.019	-0.018	-0.018	-0.020	-0.019	0.024	0.024	-0.019	-0.018	-0.018	-0.018	-0.021	-0.018	-0.019	-0.018	-0.021	-0.063	-0.018	-0.021	-0.022	0.026	0.022	-0.017	-0.022	-0.019	-0.020	-0.018	-0.021	-0.020	-0.021	-0.020	-0.342	-0.354	-0.340	-0.340	-0.354	-0.375	-0.363	-0.363	-0.373	-0.357	-0.355	-0.340	-0.355	-0.355	-0.375	-0.340	-0.356	-0.351	-0.340	-0.358	-0.357	-0.363	-0.377	-0.357	-0.340	-0.375	-0.373	-0.372	-0.355	-0.354	-0.355	-0.373	0.207	-0.015	-0.358	2016_7_19_17_01_21
FLQS30KBGRWV____	-0.167	-0.171	-0.121	-0.121	-0.125	-0.122	-0.126	-0.126	-0.165	-0.171	-0.130	-0.121	-0.122	-0.128	-0.169	-0.121	-0.125	-0.122	-0.121	-0.125	-0.121	-0.167	-0.167	-0.209	-0.126	-0.122	-0.119	-0.168	-0.123	-0.125	-0.126	-0.119	0.001	-0.044	0.001	0.001	0.002	0.003	-0.044	-0.044	-0.042	-0.046	0.002	0.001	0.001	-0.042	0.001	0.001	-0.000	-0.044	0.001	0.000	0.001	-0.045	0.001	0.001	0.001	0.003	0.001	-0.045	0.003	0.002	0.002	0.001	-0.104	-0.101	-0.086	-0.086	-0.088	-0.086	-0.084	-0.084	-0.099	-0.101	-0.090	-0.086	-0.086	-0.085	-0.105	-0.086	-0.088	-0.082	-0.086	-0.088	-0.086	-0.099	-0.105	-0.120	-0.089	-0.086	-0.085	-0.100	-0.088	-0.088	-0.088	-0.085	-0.137	-0.011	-0.091	2016_7_19_17_01_21
FLQS30CWGRWV____	0.100	0.094	-0.003	-0.003	0.004	0.052	0.092	0.092	0.091	0.052	0.001	-0.003	-0.000	0.044	0.002	-0.003	-0.039	0.048	-0.003	0.052	0.003	0.050	0.049	0.140	0.046	0.052	0.044	0.003	-0.001	0.004	0.107	0.044	-0.004	0.047	0.000	0.000	0.048	0.004	0.050	0.050	0.049	0.049	0.003	0.000	0.047	0.047	0.001	0.000	0.004	0.048	0.000	0.049	0.003	0.002	0.049	0.047	0.048	0.004	0.048	0.049	0.048	0.048	0.047	0.048	0.158	0.151	0.118	0.118	0.116	0.138	0.150	0.150	0.150	0.134	0.119	0.118	0.115	0.131	0.120	0.118	0.105	0.133	0.118	0.135	0.120	0.138	0.133	0.169	0.133	0.138	0.132	0.116	0.114	0.116	0.156	0.132	0.038	0.029	0.131	2016_7_19_17_01_21
FLQS30C7GRWV____	0.093	0.170	0.094	0.094	0.093	0.090	0.103	0.103	0.141	0.092	0.132	0.094	0.132	0.105	0.094	0.094	0.131	0.102	0.094	0.093	0.133	0.092	0.101	0.099	0.095	0.090	0.133	0.092	0.140	0.093	0.099	0.133	-0.017	-0.021	-0.059	-0.059	-0.018	-0.017	-0.061	-0.061	-0.063	-0.017	-0.019	-0.059	-0.061	-0.059	-0.016	-0.059	-0.019	-0.060	-0.059	-0.016	-0.020	-0.014	-0.059	-0.017	-0.016	-0.017	-0.060	-0.018	-0.059	-0.018	-0.060	-0.060	0.108	0.139	0.113	0.113	0.108	0.108	0.117	0.117	0.131	0.108	0.124	0.113	0.128	0.118	0.108	0.113	0.123	0.116	0.113	0.108	0.124	0.108	0.116	0.111	0.109	0.108	0.128	0.108	0.131	0.108	0.114	0.128	0.108	-0.039	0.116	2016_7_19_17_01_21
FLQS29JFGRX5____	-0.016	-0.021	-0.014	-0.014	-0.059	-0.015	-0.016	-0.016	-0.015	-0.055	-0.012	-0.014	-0.016	-0.018	-0.058	-0.014	-0.017	-0.016	-0.014	-0.055	-0.060	-0.054	-0.020	-0.019	-0.021	-0.015	-0.014	-0.018	-0.020	-0.059	-0.012	-0.014	0.009	0.009	0.008	0.008	0.010	0.009	0.010	0.010	0.009	0.007	-0.035	0.008	0.008	0.008	-0.034	0.008	0.009	0.008	0.008	0.007	0.010	0.008	0.007	0.009	0.010	0.009	0.007	0.009	0.009	0.010	0.009	0.007	-0.110	-0.112	-0.109	-0.109	-0.127	-0.110	-0.111	-0.111	-0.111	-0.125	-0.105	-0.109	-0.110	-0.112	-0.122	-0.109	-0.111	-0.111	-0.109	-0.126	-0.128	-0.125	-0.111	-0.112	-0.113	-0.110	-0.110	-0.111	-0.112	-0.127	-0.109	-0.110	-0.025	0.006	-0.114	2016_7_19_17_01_21
FLQS22XEGRX2____	-0.005	0.039	-0.004	-0.004	0.015	-0.007	0.002	0.002	0.000	-0.002	-0.003	-0.004	0.002	-0.002	-0.002	-0.004	0.006	0.001	-0.004	-0.011	-0.000	-0.005	0.005	-0.002	-0.001	-0.007	-0.004	0.005	-0.002	0.015	-0.007	-0.004	0.001	0.003	0.001	0.001	0.009	0.043	-0.043	-0.043	-0.043	0.003	0.001	0.001	-0.041	0.003	0.001	0.001	-0.043	-0.043	0.001	0.045	0.003	0.002	-0.040	0.000	-0.045	0.043	0.003	-0.041	-0.000	0.009	-0.001	0.003	-0.013	0.004	-0.013	-0.013	-0.006	-0.018	-0.006	-0.006	-0.007	-0.012	-0.012	-0.013	-0.006	-0.012	-0.012	-0.013	-0.004	-0.006	-0.013	-0.019	-0.011	-0.013	-0.005	-0.011	-0.006	-0.018	-0.013	-0.005	-0.012	-0.006	-0.013	-0.013	0.000	-0.006	-0.010	2016_7_19_17_01_21
FLQS22TQGRX2____	-0.098	-0.057	-0.050	-0.050	-0.059	-0.089	-0.056	-0.056	-0.058	-0.055	-0.057	-0.050	-0.056	0.018	-0.085	-0.050	-0.058	-0.056	-0.050	-0.027	-0.064	-0.014	-0.093	-0.056	-0.059	-0.089	-0.055	-0.056	-0.057	-0.059	-0.091	-0.055	0.005	0.004	-0.037	-0.037	0.004	-0.034	0.003	0.003	0.004	0.007	0.005	-0.037	0.006	0.001	-0.035	-0.037	0.005	0.006	-0.037	0.047	0.043	0.005	0.008	0.007	0.005	-0.034	0.005	0.005	0.004	0.004	0.005	0.005	-0.163	-0.147	-0.141	-0.141	-0.148	-0.156	-0.147	-0.147	-0.148	-0.147	-0.148	-0.141	-0.147	-0.119	-0.154	-0.141	-0.148	-0.147	-0.141	-0.140	-0.154	-0.131	-0.162	-0.147	-0.149	-0.156	-0.147	-0.147	-0.148	-0.148	-0.161	-0.147	-0.058	-0.003	-0.147	2016_7_19_17_01_21
FLQS21YXGRX2____	0.002	0.049	0.007	0.007	0.050	0.053	0.050	0.050	0.008	0.052	0.051	0.007	0.006	0.009	0.046	0.007	0.004	0.044	0.007	0.050	0.006	0.047	0.045	0.049	0.051	0.053	0.048	0.052	0.047	0.050	0.004	0.048	0.005	0.003	0.003	0.003	0.007	0.006	0.003	0.003	0.003	0.004	0.002	0.003	0.002	0.006	0.002	0.003	0.003	0.001	0.003	0.004	0.003	0.003	0.004	0.005	0.006	0.006	0.002	0.006	0.003	0.007	0.002	0.002	0.054	0.072	0.057	0.057	0.072	0.074	0.073	0.073	0.057	0.073	0.073	0.057	0.056	0.057	0.071	0.057	0.055	0.070	0.057	0.072	0.056	0.071	0.071	0.072	0.072	0.074	0.072	0.073	0.071	0.072	0.055	0.072	0.033	0.004	0.066	2016_7_19_17_01_21
FLQS2AVTGRX5____	-0.058	-0.106	-0.103	-0.103	-0.139	-0.103	-0.061	-0.061	-0.063	-0.099	-0.063	-0.103	-0.102	-0.064	-0.061	-0.103	-0.098	-0.062	-0.103	-0.061	-0.098	-0.060	-0.062	-0.059	-0.064	-0.103	-0.105	-0.062	-0.066	-0.139	-0.065	-0.105	0.000	0.002	0.001	0.001	-0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.002	-0.000	0.001	0.002	-0.000	0.001	-0.000	0.004	0.002	0.002	-0.000	0.002	0.001	0.001	0.001	0.003	-0.001	-0.000	0.001	-0.057	-0.076	-0.074	-0.074	-0.088	-0.075	-0.059	-0.059	-0.059	-0.073	-0.059	-0.074	-0.074	-0.059	-0.058	-0.074	-0.073	-0.059	-0.074	-0.058	-0.073	-0.058	-0.059	-0.058	-0.059	-0.075	-0.075	-0.059	-0.060	-0.088	-0.060	-0.075	-0.084	0.001	-0.067	2016_7_19_17_01_21
FLQS3087GRWV____	0.209	0.083	0.073	0.073	0.139	-0.001	0.060	0.060	0.061	0.060	0.111	0.073	-0.029	-0.012	0.190	0.073	0.005	0.011	0.073	0.032	0.023	0.029	0.058	0.040	-0.074	-0.001	0.139	0.123	-0.024	0.139	0.128	0.139	-0.069	-0.057	-0.054	-0.054	-0.069	-0.069	-0.005	-0.005	-0.007	-0.006	0.007	-0.054	-0.006	-0.071	-0.035	-0.054	-0.009	-0.009	-0.054	-0.101	-0.054	0.004	-0.007	-0.052	0.002	-0.069	-0.069	-0.054	-0.006	-0.069	-0.007	-0.069	0.068	0.018	0.014	0.014	0.041	-0.013	0.004	0.004	0.004	0.004	0.022	0.014	-0.030	-0.017	0.057	0.014	-0.017	-0.014	0.014	0.003	-0.005	-0.009	0.004	0.001	-0.049	-0.013	0.041	0.033	-0.028	0.041	0.030	0.041	0.064	-0.038	0.009	2016_7_19_17_01_22
FLQS2044GRWY____	-0.002	0.039	0.030	0.030	-0.001	-0.009	-0.008	-0.008	-0.004	-0.008	-0.006	0.030	-0.001	0.035	-0.005	0.030	0.037	-0.005	0.030	-0.005	-0.003	-0.006	-0.004	-0.004	-0.000	-0.009	0.033	-0.005	-0.002	-0.001	0.034	0.033	-0.000	-0.002	-0.002	-0.002	-0.004	-0.001	-0.003	-0.003	-0.002	-0.004	-0.002	-0.002	-0.003	-0.003	-0.001	-0.002	-0.005	-0.003	-0.002	-0.002	-0.002	-0.004	-0.003	-0.002	-0.002	-0.001	-0.003	-0.004	-0.003	-0.004	-0.003	-0.003	-0.015	-0.000	-0.002	-0.002	-0.014	-0.017	-0.018	-0.018	-0.016	-0.017	-0.017	-0.002	-0.015	-0.001	-0.017	-0.002	-0.000	-0.016	-0.002	-0.017	-0.016	-0.016	-0.016	-0.015	-0.014	-0.017	-0.001	-0.016	-0.015	-0.014	-0.001	-0.001	0.008	-0.003	-0.011	2016_7_19_17_01_22
FLQS312SGRWV____	0.006	0.050	0.009	0.009	0.052	0.009	0.016	0.016	-0.025	0.010	-0.028	0.009	0.013	-0.029	-0.029	0.009	0.010	-0.000	0.009	0.012	0.012	0.012	0.047	-0.026	0.010	0.009	0.008	0.012	0.052	0.052	0.008	0.008	-0.004	-0.007	-0.006	-0.006	-0.005	-0.002	-0.049	-0.049	-0.048	-0.004	-0.049	-0.006	-0.003	-0.005	-0.003	-0.006	-0.006	0.040	-0.006	-0.002	-0.005	-0.001	0.041	-0.049	-0.004	-0.002	-0.004	-0.003	-0.004	-0.005	-0.047	-0.004	-0.017	0.000	-0.016	-0.016	0.001	-0.017	-0.009	-0.009	-0.025	-0.015	-0.025	-0.016	-0.014	-0.031	-0.031	-0.016	-0.015	-0.024	-0.016	-0.015	-0.014	-0.015	-0.006	-0.025	-0.016	-0.017	-0.016	-0.015	-0.000	0.001	-0.011	-0.016	0.010	-0.010	-0.015	2016_7_19_17_01_22
FLQS31J6GRWY____	-0.282	-0.210	-0.212	-0.212	-0.212	-0.179	-0.217	-0.217	-0.171	-0.109	-0.212	-0.212	-0.160	-0.124	-0.225	-0.212	-0.148	-0.264	-0.212	-0.158	-0.110	-0.228	-0.214	-0.217	-0.173	-0.179	-0.162	-0.206	-0.205	-0.212	-0.208	-0.162	0.004	0.060	0.064	0.064	0.004	-0.000	0.060	0.060	0.059	0.002	0.074	0.064	0.059	0.057	-0.001	0.064	-0.029	0.061	0.064	-0.000	-0.001	0.000	0.061	0.059	0.057	-0.000	0.058	0.016	0.063	0.004	0.063	0.058	-0.142	-0.120	-0.122	-0.122	-0.116	-0.102	-0.123	-0.123	-0.105	-0.076	-0.123	-0.122	-0.101	-0.087	-0.120	-0.122	-0.088	-0.141	-0.122	-0.095	-0.075	-0.121	-0.122	-0.123	-0.106	-0.102	-0.101	-0.114	-0.119	-0.116	-0.120	-0.101	-0.194	0.038	-0.112	2016_7_19_17_01_11
FLQS31FWGRWY____	-0.089	-0.055	-0.056	-0.056	-0.053	-0.058	-0.059	-0.059	-0.056	-0.058	-0.090	-0.056	-0.053	-0.055	-0.098	-0.056	-0.093	-0.055	-0.056	-0.117	-0.051	-0.058	-0.056	-0.052	-0.052	-0.058	-0.084	-0.056	-0.054	-0.053	-0.053	-0.084	0.006	0.003	0.006	0.006	0.046	0.004	0.004	0.004	0.003	0.003	0.003	0.006	0.005	0.004	0.007	0.006	0.006	0.004	0.006	-0.035	0.004	0.004	0.003	0.005	0.005	0.004	0.008	0.004	0.002	0.046	0.003	0.008	-0.075	-0.062	-0.062	-0.062	-0.065	-0.063	-0.064	-0.064	-0.062	-0.063	-0.075	-0.062	-0.061	-0.062	-0.079	-0.062	-0.077	-0.062	-0.062	-0.082	-0.061	-0.063	-0.062	-0.061	-0.061	-0.063	-0.074	-0.062	-0.062	-0.065	-0.061	-0.074	-0.064	0.006	-0.066	2016_7_19_17_01_11
