SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	0.051	0.051	0.051	0.051	0.05	0.05	0.017	0.049	0.05	0.051	0.05	0.052	0.021	0.05	0.049	0.019	0.051	0.051	0.05	0.051	0.05	0.05	0.048	0.05	0.018	0.051	0.052	0.019	0.018	0.049	0.052	0.051	0.011	0.01	0.011	0.048	0.011	0.009	0.011	0.01	0.01	0.09	0.011	0.09	0.051	0.009	0.012	0.009	0.053	0.05	0.011	0.05	0.011	0.047	0.013	0.01	0.01	0.01	-0.035	0.01	0.013	0.01	0.049	0.011	0.02	0.02	0.019	0.001	0.019	0.02	0.003	0.019	0.02	-0.018	0.019	-0.019	-0.015	0.02	0.019	0.005	0	0.001	0.019	0.001	0.019	0.002	0.018	0.02	0.004	0.02	0.042	0.005	0.003	0.02	0.002	0.02	0.044	0.023	0.011	2016_7_13_17_56_50
FLQS2C6NGRX5____	-0.129	-0.126	-0.13	-0.127	-0.125	-0.127	-0.127	-0.126	-0.133	-0.098	-0.125	-0.133	-0.129	-0.165	-0.129	-0.13	-0.126	-0.134	-0.127	-0.131	-0.13	-0.131	-0.097	-0.093	-0.126	-0.097	-0.131	-0.127	-0.131	-0.132	-0.127	-0.129	0.013	0.011	0.01	0.013	0.047	0.013	0.012	0.011	0.011	0.013	0.047	0.013	0.01	0.011	0.011	0.011	0.012	0.013	0.012	0.011	0.012	0.012	0.012	0.01	0.046	0.011	0.011	0.011	0.011	0.012	0.012	0.013	-0.071	-0.068	-0.069	-0.069	-0.085	-0.069	-0.069	-0.068	-0.071	-0.054	-0.085	-0.071	-0.069	-0.088	-0.07	-0.07	-0.068	-0.072	-0.068	-0.07	-0.071	-0.07	-0.054	-0.052	-0.085	-0.054	-0.071	-0.069	-0.07	-0.071	-0.069	-0.071	-0.126	0.015	-0.07	2016_7_13_17_56_55
FLQS2C9EGRX5____	0.012	0.044	0.042	0.011	0.011	0.012	0.043	0.011	0.012	0.012	0.011	0.01	0.011	0.011	0.012	0.012	0.011	0.042	0.011	0.011	0.043	0.011	0.012	0.009	0.044	0.011	0.011	0.042	0.011	0.011	0.011	0.012	0.017	0.05	0.049	0.047	0.048	0.046	0.017	0.049	0.049	0.048	0.048	0.016	0.049	0.049	0.047	0.049	0.049	0.05	0.046	0.05	0.017	0.049	0.047	0.014	0.048	0.017	0.048	0.047	0.049	0.015	0.047	0.017	-0.677	-0.677	-0.677	-0.692	-0.692	-0.692	-0.661	-0.693	-0.692	-0.692	-0.692	-0.677	-0.693	-0.693	-0.692	-0.693	-0.693	-0.678	-0.692	-0.693	-0.66	-0.693	-0.692	-0.676	-0.676	-0.677	-0.693	-0.677	-0.693	-0.676	-0.692	-0.677	0.018	0.04	-0.685	2016_7_13_17_56_59
FLQS2CKUGRX5	-0.005	-0.004	-0.005	-0.036	-0.004	-0.005	-0.004	-0.035	-0.004	-0.006	-0.004	-0.006	-0.004	-0.034	-0.004	-0.004	-0.003	-0.005	-0.005	-0.004	-0.006	-0.035	0.024	-0.003	-0.003	-0.005	-0.005	-0.004	-0.005	-0.034	0.026	-0.005	0.058	0.058	0.059	0.061	0.058	0.058	0.059	0.059	0.059	0.058	0.058	0.059	0.059	0.057	0.06	0.058	0.06	0.061	0.06	0.093	0.059	0.058	0.059	0.06	0.058	0.058	0.059	0.058	0.059	0.06	0.058	0.058	-0.032	-0.03	-0.032	-0.047	-0.031	-0.032	-0.032	-0.046	-0.031	-0.031	-0.031	-0.033	-0.031	-0.045	-0.032	-0.03	-0.031	-0.032	-0.032	-0.048	-0.032	-0.046	-0.016	-0.032	-0.031	-0.032	-0.031	-0.031	-0.032	-0.046	-0.016	-0.032	-0.007	0.06	-0.033	2016_7_13_17_57_04
FLQS2F0LGRX5____	0.003	0	0	0.033	0.033	0.034	0	0	-0.001	0.001	0.033	-0.002	0.003	0.001	0	0.001	-0.002	-0.001	0.032	0	-0.002	0.002	0.001	-0.001	-0.002	0.003	0.002	0.032	0.001	0.002	0.034	0.003	-0.052	-0.053	-0.054	-0.053	-0.053	-0.055	-0.018	-0.052	-0.024	-0.053	-0.053	-0.055	-0.053	-0.055	-0.054	-0.055	-0.055	-0.055	-0.054	-0.055	-0.054	-0.054	-0.053	-0.052	-0.054	-0.052	-0.054	-0.055	-0.054	-0.051	-0.055	-0.052	0.027	0.026	0.026	0.043	0.042	0.044	0.009	0.025	0.011	0.026	0.042	0.026	0.028	0.028	0.027	0.028	0.026	0.026	0.043	0.027	0.025	0.027	0.027	0.026	0.026	0.027	0.028	0.043	0.027	0.026	0.044	0.027	0.008	-0.052	0.029	2016_7_13_17_57_12
FLQS30AEGRWV____	0.002	-0.031	0.002	0.003	0.003	0.003	0.003	0.004	0.002	0.003	0.003	0.001	0.004	0.003	0.001	0.003	0.002	0.002	0.003	0.002	0.001	0.003	0.003	0.003	0.004	0.001	0.002	0.032	0.003	0.002	0.001	0.002	-0.008	-0.043	-0.008	-0.009	-0.009	-0.008	-0.006	-0.008	-0.041	-0.008	-0.009	-0.008	-0.007	-0.007	-0.043	-0.006	-0.044	-0.007	-0.043	-0.006	-0.04	-0.007	-0.009	-0.043	-0.006	-0.041	-0.007	-0.04	-0.008	-0.007	-0.008	-0.008	0.005	0.006	0.005	0.006	0.006	0.005	0.004	0.006	0.021	0.005	0.006	0.005	0.006	0.005	0.022	0.004	0.023	0.004	0.022	0.004	0.02	0.005	0.006	0.022	0.005	0.021	0.004	0.036	0.005	0.005	0.005	0.005	0.002	-0.017	0.01	2016_7_13_17_57_16
FLQS30BJGRWV____	0.072	0.072	0.072	0.04	0.072	0.07	0.071	0.039	0.039	0.072	0.072	0.037	0.072	0.072	0.104	0.071	0.072	0.073	0.071	0.103	0.072	0.073	0.073	0.105	0.073	0.072	0.072	0.071	0.072	0.071	0.072	0.072	-0.002	-0.002	-0.004	-0.003	-0.002	-0.003	-0.004	-0.003	0.002	-0.003	-0.002	-0.002	-0.002	-0.003	0	-0.003	-0.003	-0.002	-0.002	-0.002	-0.001	-0.002	-0.001	-0.002	0	-0.002	-0.004	-0.002	-0.004	-0.002	-0.001	-0.002	0.037	0.037	0.038	0.021	0.037	0.037	0.037	0.021	0.019	0.037	0.037	0.019	0.037	0.037	0.052	0.037	0.037	0.037	0.036	0.052	0.036	0.037	0.037	0.052	0.036	0.037	0.037	0.036	0.038	0.036	0.036	0.037	0.071	-0.002	0.036	2016_7_13_17_57_21
FLQS30BWGRWY____	-0.068	-0.067	-0.033	-0.066	-0.068	-0.067	-0.067	-0.069	-0.066	-0.069	-0.068	-0.067	-0.034	-0.069	-0.068	-0.034	-0.067	-0.067	-0.069	-0.068	-0.066	-0.068	-0.069	-0.031	-0.067	-0.069	-0.109	-0.067	-0.033	-0.069	-0.069	-0.068	-0.01	-0.011	-0.011	-0.011	-0.012	-0.01	-0.012	-0.05	-0.014	-0.04	-0.012	-0.042	-0.011	-0.011	-0.012	-0.011	-0.013	-0.053	-0.052	-0.012	-0.098	-0.012	-0.097	-0.011	-0.055	-0.012	-0.056	-0.01	-0.012	-0.051	-0.05	-0.01	-0.028	-0.028	-0.011	-0.028	-0.027	-0.029	-0.027	-0.009	-0.026	-0.014	-0.027	-0.013	-0.011	-0.028	-0.028	-0.012	-0.026	-0.007	-0.009	-0.028	0.016	-0.027	0.014	-0.01	-0.006	-0.028	-0.026	-0.028	-0.011	-0.009	-0.009	-0.028	-0.064	-0.028	-0.018	2016_7_13_17_57_25
FLQS30CMGRWQ____	0.029	0.06	0.028	0.058	0.025	0.024	0.06	0.059	0.063	0.062	0.025	0.063	0.027	0.063	0.029	0.029	0.06	0.063	0.059	0.061	0.064	0.063	0.028	0.061	0.06	0.061	0.028	0.06	0.028	0.062	0.024	0.029	-0.003	-0.036	-0.036	-0.036	-0.036	-0.036	-0.039	-0.035	-0.038	-0.035	-0.036	-0.005	-0.036	-0.034	-0.038	-0.034	-0.039	-0.037	-0.038	-0.035	-0.038	-0.035	-0.037	-0.005	-0.037	-0.006	-0.036	-0.035	-0.036	-0.004	-0.037	-0.003	0.525	0.556	0.541	0.556	0.539	0.539	0.558	0.556	0.559	0.557	0.539	0.542	0.54	0.558	0.542	0.541	0.558	0.558	0.557	0.557	0.56	0.558	0.541	0.542	0.557	0.542	0.541	0.556	0.541	0.542	0.539	0.525	0.047	-0.03	0.548	2016_7_13_17_57_29
FLQS30D5GRWQ____	-0.029	-0.061	-0.062	-0.095	-0.061	-0.062	-0.063	-0.095	-0.062	-0.028	-0.061	-0.061	-0.062	-0.06	-0.025	-0.059	-0.062	-0.061	-0.096	-0.06	-0.061	-0.028	-0.061	-0.061	-0.06	-0.06	-0.06	-0.061	-0.061	-0.06	-0.061	-0.029	0.029	0.059	0.025	0.06	0.062	0.062	0.03	0.059	0.028	0.028	0.062	0.03	0.059	0.061	0.063	0.061	0.029	0.063	0.026	0.061	0.063	0.094	0.029	0.065	0.06	0.03	0.059	0.06	0.098	0.028	0.062	0.029	-0.028	-0.06	-0.043	-0.077	-0.061	-0.061	-0.046	-0.076	-0.044	-0.028	-0.061	-0.045	-0.06	-0.059	-0.044	-0.06	-0.045	-0.062	-0.06	-0.06	-0.062	-0.061	-0.044	-0.062	-0.06	-0.045	-0.059	-0.06	-0.078	-0.042	-0.061	-0.028	-0.059	0.051	-0.054	2016_7_13_17_57_33
