SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.071	-0.069	-0.066	-0.067	-0.069	-0.067	-0.071	-0.069	-0.067	-0.069	-0.069	-0.068	-0.071	-0.029	-0.068	-0.029	-0.068	-0.069	-0.068	-0.067	-0.029	-0.07	-0.068	-0.068	-0.066	-0.066	-0.067	-0.066	-0.069	-0.067	-0.069	-0.069	0.009	0.04	0.042	0.042	0.047	0.045	0.04	0.04	0.045	0.04	0.047	0.038	0.045	0.043	0.04	0.043	0.038	0.043	0.04	0.007	0.043	0.04	0.04	0.008	0.042	0.042	0.007	0.042	0.047	0.007	0.044	0.043	0.007	-0.001	0	0	-0.003	-0.001	-0.002	-0.001	-0.001	-0.001	-0.003	0	-0.003	0.015	-0.001	0.015	0	-0.002	-0.001	0.01	0.015	-0.001	-0.001	0.009	0	0	0.01	0	-0.003	0.01	-0.002	-0.002	-0.064	0.037	0.002	2016_7_13_18_08_10
FLQS2C6NGRX5____	-0.112	-0.107	-0.105	-0.069	-0.108	-0.107	-0.066	-0.109	-0.107	-0.109	-0.108	-0.107	-0.067	-0.105	-0.066	-0.105	-0.107	-0.109	-0.066	-0.068	-0.105	-0.065	-0.066	-0.067	-0.105	-0.105	-0.068	-0.105	-0.108	-0.068	-0.106	-0.109	0	0.004	0.004	0.007	0.003	0.005	0.004	0.004	0.005	0.004	0.003	0.003	0.036	0.003	0.003	0.003	0.003	0.005	0.003	0.008	0.003	-0.001	0.003	0.006	0.004	0.004	0.008	0.004	0.003	0.008	0.005	0.005	0.027	0.028	0.029	0.044	0.028	0.028	0.045	0.027	0.028	0.027	0.028	0.028	0.036	0.029	0.046	0.029	0.028	0.027	0.046	0.044	0.029	0.047	0.046	0.044	0.029	0.029	0.044	0.029	0.028	0.044	0.028	0.027	-0.093	0.005	0.034	2016_7_13_18_08_18
FLQS2C9EGRX5____	0.048	0.046	0.046	0.046	0.005	0.045	0.044	0.003	0.045	0.003	0.005	0.046	0.003	0.047	0.046	0.047	0.046	0.046	0.046	0.006	0.047	0.045	0.046	0.045	0.046	0.046	0.006	0.046	0.005	0.006	0.046	0.046	0.004	0.033	0.037	0.038	0.002	0.003	0.036	0.037	0.003	0.037	0.002	0.038	0.034	0.037	0.039	0.037	0.038	0.035	0.039	0.038	0.037	0.034	0.039	0.036	0.037	0.037	0.038	0.037	0.002	0.038	0.036	0.035	-0.553	-0.561	-0.562	-0.563	-0.57	-0.554	-0.563	-0.58	-0.554	-0.58	-0.57	-0.563	-0.579	-0.562	-0.563	-0.562	-0.563	-0.561	-0.563	-0.579	-0.562	-0.562	-0.563	-0.562	-0.562	-0.562	-0.579	-0.562	-0.57	-0.579	-0.562	-0.561	0.034	0.03	-0.565	2016_7_13_18_12_19
FLQS2CKUGRX5	0.008	0.006	0.006	0.006	0.007	0.009	-0.033	0.006	0.009	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	-0.025	0.007	0.008	0.007	-0.027	0.007	0.004	0.006	0.006	0.008	0.006	0.007	0.008	0.009	-0.025	0.004	0	0.037	0.042	0.041	0.04	-0.004	0.04	0.04	0.04	0.041	0.001	0.037	0.038	0.039	0.038	0.001	0.035	0.039	0.039	0.038	0.037	0.039	0.039	0.037	0.037	0.039	0.037	0.041	0.039	0.042	0.035	0.169	0.17	0.159	0.158	0.159	0.159	0.155	0.159	0.159	0.159	0.159	0.169	0.159	0.158	0.159	0.158	0.169	0.147	0.159	0.159	0.158	0.145	0.159	0.158	0.159	0.159	0.159	0.159	0.159	0.159	0.158	0.147	0.003	0.033	0.159	2016_7_13_18_12_28
FLQS2F0LGRX5____	0.117	0.115	0.073	0.11	0.075	0.071	0.071	0.113	0.071	0.113	0.075	0.072	0.112	0.073	0.112	0.073	0.072	0.072	0.112	0.113	0.073	0.111	0.112	0.111	0.073	0.073	0.113	0.073	0.075	0.113	0.112	0.072	-0.057	-0.06	-0.06	-0.026	-0.027	-0.032	-0.105	-0.061	-0.032	-0.061	-0.027	-0.061	-0.025	-0.029	-0.026	-0.029	-0.061	-0.062	-0.026	-0.03	-0.029	-0.061	-0.026	-0.025	-0.06	-0.06	-0.03	-0.06	-0.027	-0.03	-0.028	-0.062	0.112	0.112	0.094	0.1	0.087	0.085	0.107	0.111	0.085	0.111	0.087	0.095	0.101	0.086	0.101	0.086	0.095	0.094	0.101	0.102	0.086	0.111	0.101	0.101	0.094	0.094	0.102	0.094	0.087	0.102	0.102	0.094	0.091	-0.044	0.098	2016_7_13_18_15_45
FLQS30AEGRWV____	0.058	0.013	0.014	0.052	0.054	0.055	0.016	0.052	0.055	0.052	0.054	0.051	0.015	0.017	0.015	0.017	0.051	0.016	0.015	0.054	0.017	0.015	0.015	0.054	0.014	0.014	0.054	0.014	0.054	0.054	0.053	0.016	0.041	-0.045	-0.043	-0.006	-0.003	0.034	-0.003	-0.004	0.034	-0.004	-0.003	-0.002	-0.003	-0.006	-0.005	-0.006	-0.002	-0.007	-0.005	-0.005	-0.006	-0.003	-0.005	-0.006	-0.043	-0.043	-0.005	-0.043	-0.003	-0.005	-0.006	-0.007	0.646	0.652	0.652	0.657	0.657	0.647	0.641	0.656	0.647	0.656	0.657	0.655	0.641	0.643	0.642	0.643	0.655	0.642	0.642	0.658	0.643	0.641	0.642	0.658	0.652	0.652	0.658	0.652	0.657	0.658	0.657	0.642	0.034	-0.007	0.65	2016_7_13_18_12_44
FLQS30BJGRWV____	-0.023	-0.022	-0.021	-0.021	-0.021	-0.021	-0.021	-0.023	-0.021	-0.023	-0.021	-0.022	-0.021	-0.021	-0.021	-0.021	-0.022	-0.021	-0.021	-0.018	-0.021	-0.02	-0.021	-0.019	-0.021	-0.021	-0.018	-0.021	-0.021	-0.018	-0.019	-0.021	0.041	0.01	0.007	0.01	0.01	0.046	0.007	0.009	0.046	0.009	0.01	0.041	0.011	0.007	0.007	0.007	0.041	0.007	0.007	0.011	0.007	0.009	0.007	0.008	0.007	0.007	0.011	0.007	0.01	0.011	0.011	0.007	0.581	0.589	0.591	0.591	0.591	0.58	0.591	0.589	0.58	0.589	0.591	0.581	0.59	0.591	0.591	0.591	0.581	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	0.591	-0.021	0.014	0.589	2016_7_13_18_12_50
FLQS30BWGRWY____	0.054	0.01	0.013	0.01	0.045	0.047	0.012	0.009	0.047	0.009	0.045	0.014	0.05	0.012	0.011	0.012	0.014	0.012	0.011	0.01	0.012	0.016	0.011	0.01	0.013	0.013	0.01	0.013	0.045	0.01	0.05	0.012	-0.014	-0.011	-0.047	-0.051	-0.012	-0.013	-0.01	-0.015	-0.013	-0.015	-0.012	-0.015	-0.046	-0.051	-0.012	-0.051	-0.015	-0.043	-0.012	-0.046	-0.051	-0.081	-0.012	-0.047	-0.047	-0.047	-0.046	-0.047	-0.012	-0.046	-0.045	-0.043	0.029	0.009	0.021	0.02	0.025	0.025	0.01	0.01	0.025	0.01	0.025	0.012	0.036	0.022	0.01	0.022	0.012	0.019	0.01	0.019	0.022	0.031	0.01	0.019	0.021	0.021	0.019	0.021	0.025	0.019	0.035	0.019	0.021	-0.032	0.02	2016_7_13_18_12_56
FLQS30CMGRWQ____	0.058	0.018	0.061	0.02	0.019	0.02	0.06	0.019	0.02	0.019	0.019	0.061	0.02	0.062	0.058	0.062	0.061	0.017	0.058	0.02	0.062	0.019	0.058	0.019	0.061	0.061	0.02	0.061	0.019	0.02	0.019	0.017	-0.004	-0.042	-0.008	-0.008	-0.005	-0.01	-0.038	-0.043	-0.01	-0.043	-0.005	-0.008	-0.009	-0.007	-0.043	-0.007	-0.008	0	-0.043	-0.007	-0.007	-0.039	-0.043	-0.044	-0.008	-0.008	-0.007	-0.008	-0.005	-0.007	-0.039	0	0.535	0.529	0.537	0.52	0.519	0.52	0.545	0.529	0.52	0.529	0.519	0.537	0.52	0.537	0.545	0.537	0.537	0.517	0.545	0.519	0.537	0.528	0.545	0.529	0.537	0.537	0.519	0.537	0.519	0.519	0.528	0.517	0.037	-0.018	0.53	2016_7_13_18_13_01
FLQS30D5GRWQ____	-0.062	-0.061	-0.101	-0.024	-0.062	-0.062	-0.064	-0.063	-0.062	-0.063	-0.062	-0.099	-0.063	-0.065	-0.064	-0.065	-0.099	-0.062	-0.064	-0.063	-0.065	-0.062	-0.064	-0.063	-0.101	-0.101	-0.063	-0.101	-0.062	-0.063	-0.06	-0.062	0.055	0.054	0.051	0.019	0.053	0.053	0.051	0.053	0.053	0.053	0.053	0.089	0.052	0.016	0.017	0.016	0.089	0.053	0.017	0.053	0.016	0.054	0.017	0.023	0.051	0.051	0.053	0.051	0.053	0.053	0.092	0.053	0.055	0.056	0.04	0.081	0.055	0.055	0.055	0.056	0.055	0.056	0.055	0.03	0.055	0.065	0.065	0.065	0.03	0.055	0.065	0.055	0.065	0.055	0.065	0.064	0.04	0.04	0.055	0.04	0.055	0.055	0.045	0.055	-0.069	0.047	0.054	2016_7_13_18_13_07
